index,SEACell
0,0
1,1
5,2
6,2
10,3
11,4
12,3
14,0
15,3
21,0
25,3
26,3
27,2
31,2
32,3
37,3
39,5
41,2
42,0
44,0
46,3
47,0
49,6
50,5
57,3
61,3
62,7
63,2
64,3
67,0
68,3
74,3
75,3
76,8
78,0
79,0
80,0
81,2
82,0
86,3
88,3
89,0
96,9
98,3
100,4
102,3
103,10
104,2
107,11
108,0
110,2
112,3
126,2
129,7
131,6
137,3
140,0
142,3
144,1
145,0
147,3
148,3
150,3
155,3
156,2
170,12
178,3
181,3
182,3
187,3
188,5
189,2
191,10
192,3
194,0
199,3
201,3
205,13
207,0
209,2
221,13
225,0
227,5
230,0
233,4
234,10
237,3
238,2
242,2
244,2
245,3
246,0
250,3
251,3
253,0
255,0
258,2
264,9
265,2
266,3
267,0
274,14
275,0
283,3
284,3
285,3
289,2
294,2
299,3
302,2
304,0
307,2
311,2
313,0
332,15
335,2
337,0
339,16
340,0
342,5
343,13
346,3
347,3
348,2
353,3
356,0
360,11
362,3
363,0
365,3
369,0
373,0
376,2
379,16
380,6
381,3
383,3
384,2
385,10
386,3
388,3
391,11
397,0
399,0
404,4
405,0
410,0
414,17
415,3
420,2
425,2
426,0
427,3
428,2
429,9
430,4
435,0
440,3
442,18
443,2
447,2
448,4
449,3
453,2
454,3
459,3
466,3
468,0
472,3
473,3
474,14
476,3
478,0
479,0
484,3
485,0
489,9
490,0
493,18
494,4
495,0
496,3
499,3
500,2
501,3
502,5
505,3
506,6
508,0
511,2
516,3
518,9
527,0
533,0
537,3
539,2
547,3
551,6
552,3
555,9
561,3
563,3
566,0
568,3
571,3
573,3
575,0
582,0
583,3
602,0
603,3
605,1
618,0
622,0
623,0
624,0
626,3
628,2
629,3
630,0
632,0
634,3
637,2
638,0
639,0
647,2
648,0
650,3
651,5
652,1
655,3
656,3
670,3
673,10
675,2
676,18
678,1
679,2
681,2
686,3
687,0
688,3
699,6
704,14
707,0
709,2
710,3
712,3
716,3
722,3
723,2
724,3
729,0
730,3
731,2
732,2
736,14
740,3
741,4
742,5
743,0
745,0
746,3
747,0
752,2
753,0
755,5
757,3
759,0
760,0
765,3
768,0
771,2
772,0
776,0
782,3
783,3
788,1
789,0
791,2
793,13
797,5
798,16
799,0
800,0
803,3
807,3
809,3
810,2
811,3
814,3
821,0
822,18
828,2
829,3
831,4
843,0
844,3
846,0
850,10
851,2
856,3
857,3
858,0
861,3
865,1
867,18
870,4
878,6
887,3
888,0
894,0
896,3
898,3
900,0
901,0
902,3
903,0
904,2
905,13
908,13
920,0
921,9
923,2
924,3
927,3
930,3
932,0
935,3
937,3
942,4
944,0
947,0
952,2
957,0
963,0
966,3
967,3
968,3
969,2
973,3
974,3
975,3
977,3
978,3
980,5
985,3
986,2
989,4
990,3
991,16
994,3
996,0
997,11
998,5
1000,0
1001,0
1004,0
1005,3
1012,2
1014,2
1016,5
1017,3
1022,18
1023,2
1025,3
1026,3
1031,2
1034,3
1035,3
1037,1
1038,3
1040,3
1042,3
1045,2
1046,2
1047,0
1050,0
1052,14
1062,2
1070,0
1074,19
1075,0
1076,0
1079,3
1084,0
1085,20
1087,3
1092,4
1095,2
1097,0
1104,2
1108,1
1110,4
1113,1
1115,10
1118,3
1129,3
1136,4
1137,2
1145,0
1146,5
1148,3
1153,3
1155,3
1157,0
1168,16
1171,5
1173,3
1179,3
1185,3
1187,3
1194,2
1197,11
1199,0
1205,3
1211,3
1212,2
1214,0
1216,3
1223,3
1228,3
1230,0
1231,0
1236,3
1237,4
1240,1
1241,3
1242,3
1260,2
1261,11
1271,2
1274,13
1275,3
1276,1
1278,3
1291,0
1292,2
1297,3
1298,3
1299,0
1300,0
1302,2
1304,0
1311,18
1315,18
1317,3
1321,4
1322,3
1323,0
1324,3
1325,2
1326,3
1331,2
1332,3
1333,0
1335,0
1337,3
1339,3
1344,3
1346,18
1351,2
1355,3
1358,3
1359,0
1361,2
1362,5
1365,0
1367,2
1371,0
1376,3
1377,3
1383,0
1384,5
1385,5
1390,3
1392,3
1394,3
1397,3
1401,3
1403,3
1404,0
1405,2
1413,0
1416,3
1421,0
1422,2
1423,3
1425,2
1426,16
1427,3
1430,0
1431,0
1432,0
1435,21
1440,5
1441,0
1442,14
1443,2
1454,2
1463,3
1470,0
1472,0
1474,3
1475,0
1477,15
1480,15
1483,2
1485,16
1487,9
1489,3
1491,0
1496,2
1499,2
1500,3
1515,2
1517,3
1518,2
1519,5
1520,2
1522,2
1524,3
1527,2
1530,0
1531,6
1535,3
1538,3
1545,2
1546,12
1551,13
1552,2
1553,2
1557,0
1558,3
1560,2
1561,3
1565,3
1566,3
1567,0
1568,1
1569,3
1570,2
1571,2
1576,13
1577,0
1578,2
1581,1
1582,0
1585,2
1590,11
1591,10
1593,2
1594,0
1595,2
1599,3
1600,2
1603,3
1604,3
1609,0
1616,11
1619,3
1620,0
1621,3
1622,15
1624,3
1625,0
1636,0
1640,0
1641,0
1643,3
1649,2
1650,0
1651,10
1654,2
1655,4
1657,3
1658,1
1663,3
1666,0
1667,3
1673,3
1675,3
1677,15
1684,2
1685,0
1694,3
1698,4
1700,4
1701,11
1705,3
1708,0
1715,2
1717,3
1718,3
1719,9
1722,12
1726,2
1727,5
1729,0
1730,9
1741,0
1743,3
1744,4
1748,0
1749,11
1761,15
1762,6
1766,14
1767,2
1771,0
1774,15
1784,0
1787,17
1789,3
1790,3
1796,6
1797,3
1805,10
1811,3
1815,3
1821,3
1825,9
1831,0
1832,0
1833,4
1834,3
1835,15
1836,7
1839,3
1840,2
1842,3
1843,2
1848,0
1857,2
1858,1
1862,11
1865,3
1868,0
1871,9
1872,2
1877,3
1879,3
1881,3
1886,0
1889,4
1890,1
1891,3
1892,3
1894,0
1895,3
1903,3
1907,0
1910,2
1911,3
1912,2
1913,13
1918,2
1920,18
1923,2
1925,3
1926,0
1930,3
1932,0
1935,2
1943,3
1946,0
1951,0
1963,3
1964,5
1972,16
1977,16
1978,0
1979,2
1987,3
1990,2
1991,0
1998,3
2000,2
2002,15
2007,0
2008,12
2010,3
2011,0
2013,3
2018,1
2019,3
2020,3
2021,4
2028,3
2030,2
2031,21
2035,3
2036,9
2038,0
2039,0
2044,0
2050,2
2063,0
2070,3
2072,3
2077,4
2078,3
2083,3
2092,3
2093,2
2095,3
2097,3
2098,21
2099,0
2101,2
2108,3
2112,9
2113,0
2115,10
2116,0
2117,0
2125,13
2132,3
2133,3
2147,3
2152,3
2155,10
2158,10
2161,4
2162,2
2164,0
2167,9
2172,3
2179,2
2181,3
2186,0
2189,0
2192,0
2198,3
2207,21
2209,3
2210,3
2214,3
2217,3
2224,3
2226,11
2227,0
2228,3
2230,0
2233,2
2239,2
2246,3
2248,0
2249,1
2251,2
2252,0
2253,3
2262,18
2264,3
2265,2
2266,0
2270,3
2271,2
2276,3
2277,3
2281,3
2283,5
2286,0
2287,2
2292,2
2293,3
2294,2
2295,2
2297,10
2299,0
2303,18
2305,2
2307,2
2312,3
2314,3
2315,3
2316,3
2317,13
2318,0
2320,3
2324,0
2326,3
2329,0
2332,18
2333,3
2337,2
2340,4
2341,3
2342,3
2345,9
2346,3
2348,0
2351,4
2352,9
2354,0
2355,2
2359,2
2363,3
2365,9
2367,21
2368,2
2369,2
2373,2
2374,4
2382,13
2383,0
2385,3
2387,0
2391,0
2400,3
2402,3
2404,9
2409,0
2416,3
2417,0
2418,2
2420,4
2428,0
2429,0
2432,0
2433,1
2435,18
2452,3
2458,0
2459,2
2463,3
2466,1
2469,15
2471,3
2476,3
2482,18
2483,3
2484,3
2486,11
2489,2
2496,3
2503,3
2507,0
2511,3
2512,2
2515,0
2519,6
2523,3
2524,2
2525,3
2526,2
2528,3
2535,10
2537,2
2544,0
2549,0
2554,18
2559,15
2560,3
2561,7
2563,3
2565,3
2570,0
2572,0
2575,3
2578,0
2581,2
2587,0
2593,2
2595,0
2597,3
2600,3
2603,2
2605,18
2606,2
2607,15
2608,0
2611,0
2613,0
2616,0
2617,3
2619,3
2620,0
2623,1
2632,3
2633,2
2636,0
2637,1
2638,3
2640,4
2642,4
2646,6
2652,0
2654,0
2655,3
2657,3
2660,3
2668,18
2670,3
2672,0
2676,2
2677,15
2678,0
2679,2
2681,0
2684,0
2685,0
2690,0
2692,11
2693,2
2695,10
2696,2
2697,4
2698,12
2699,11
2700,12
2702,2
2704,0
2707,1
2711,3
2712,3
2717,3
2718,3
2720,0
2721,4
2725,2
2728,3
2729,0
2742,2
2749,0
2752,0
2753,3
2755,0
2756,3
2763,3
2766,3
2769,2
